year,title,artist,price,techniques,Unframed Dimensions,Unframed Dimensions (inch),tags,support,encadrement,image_filename
2024,Dancing in the sun,Jean-Philippe Berger,350 €,acrylique,61 x 50 x 1.5 cm,24 x 19.7 x 0.6 inch,"Scène de vie, Œuvres d'art couleurs, Mer, Personnage, jaune, bleu ciel, Artistes Sculpteurs, Artistes Peintres, Designers, Artistes Français",Peinture sur toile sur chassis,Cadre noir,Dancing in the sun_Jean-Philippe Berger_2024.jpg
2024,Romanian Morning,Dasha Pogodina,1 100 €,acrylique,94 x 94 x 2.5 cm,37 x 37 x 1 inch,"Portrait, Scène de vie, Bouquet, Chiens, Œuvres d'art couleurs, Femmes, marron, Rouge, Portraitistes Scène de vie, Personnages oniriques, Artistes Peintres, Artistes Suisses",Peinture sur toile sur chassis,Non encadrée,Romanian Morning_Dasha Pogodina_2024.jpg
2024,Romanian Morning,Dasha Pogodina,1 100 €,acrylique,94 x 94 x 2.5 cm,37 x 37 x 1 inch,"Portrait, Scène de vie, Bouquet, Chiens, Œuvres d'art couleurs, Femmes, marron, Rouge, Portraitistes Scène de vie, Personnages oniriques, Artistes Peintres, Artistes Suisses",Peinture sur toile sur chassis,Non encadrée,Romanian Morning_Dasha Pogodina_2024.jpg
2022,Abstract Favelas in violets and ochres,Frank De Blok,1 100 €,"huile, techniques mixtes",60 x 80 x 2 cm,23.6 x 31.5 x 0.8 inch,"Abstrait, Art abstrait, multicolore, marron, jaune, Paysages urbains actuels, Artistes Peintres, Artistes Dessinateurs, Artistes Neerlandais",Not Found,Non encadrée,Abstract Favelas in violets and ochres_Frank De Blok_2022.jpg
2022,Abstract Favelas in violets and ochres,Frank De Blok,1 100 €,"huile, techniques mixtes",60 x 80 x 2 cm,23.6 x 31.5 x 0.8 inch,"Abstrait, Art abstrait, multicolore, marron, jaune, Paysages urbains actuels, Artistes Peintres, Artistes Dessinateurs, Artistes Neerlandais",Not Found,Non encadrée,Abstract Favelas in violets and ochres_Frank De Blok_2022.jpg
2021,Vuelo del pjaro,Enrique Pichardo,1 434 €,"peinture aérosol, acrylique, craie",80 x 120 x 1 cm,31.5 x 47.2 x 0.4 inch,"Abstrait, Portrait, Oeuvres d'art art brut, Composition, Expressionnisme, bleu foncé, Cubisme, Artistes Peintres, Artistes en éditions, Artistes Mexicains",Peinture sur toile  sans chassis (envoyée roulée),Non encadrée,Vuelo del pjaro_Enrique Pichardo_2021.jpg
2021,Vuelo del pjaro,Enrique Pichardo,1 434 €,"peinture aérosol, acrylique, craie",80 x 120 x 1 cm,31.5 x 47.2 x 0.4 inch,"Abstrait, Portrait, Oeuvres d'art art brut, Composition, Expressionnisme, bleu foncé, Cubisme, Artistes Peintres, Artistes en éditions, Artistes Mexicains",Peinture sur toile  sans chassis (envoyée roulée),Non encadrée,Vuelo del pjaro_Enrique Pichardo_2021.jpg
2024,Plan de mtro Panthre rose,Fat,1 330 €,"peinture aérosol, acrylique",48 x 48 x 1 cm,18.9 x 18.9 x 0.4 inch,"Street art, Oeuvres d'art Pop art, Graffiti, Métro, Panthère Rose, bleu ciel, rose, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Designers, Artistes Français",Not Found,Cadre avec verre musée blanc,Plan de mtro Panthre rose_Fat_2024.jpg
2024,Plan de mtro Panthre rose,Fat,1 330 €,"peinture aérosol, acrylique",48 x 48 x 1 cm,18.9 x 18.9 x 0.4 inch,"Street art, Oeuvres d'art Pop art, Graffiti, Métro, Panthère Rose, bleu ciel, rose, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Designers, Artistes Français",Not Found,Cadre avec verre musée blanc,Plan de mtro Panthre rose_Fat_2024.jpg
2024,MB 81,Méryl B,890 €,"acrylique, Pigment naturel",116 x 89 x 3 cm,45.7 x 35 x 1.2 inch,"Abstrait, Œuvres d'art couleurs, vert, rose, Artistes inspirés par Rothko, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,MB 81_Méryl B_2024.jpg
